"Units","StatVar","observationPeriods","MeasurementMethods","MinDate","NumPlaces","ScalingFactors"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfFamilyAndConsumerSciencesMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfSocialSciencesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfAgricultureAndNaturalResourcesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfInterdisciplinaryStudiesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfInterdisciplinaryStudiesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfComputerAndITMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfForeignLanguagesAndLinguisticsMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfAgricultureAndNaturalResourcesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfForeignLanguagesAndLinguisticsMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHealthRelatedMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEducationMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMathAndStatisticsMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMilitaryTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfOtherMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfFamilyAndConsumerSciencesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfOtherMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMilitaryTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfSocialSciencesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfInterdisciplinaryStudiesMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfFamilyAndConsumerSciencesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHealthRelatedMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEthnicCulturalGenderGroupStudiesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfOtherMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHealthRelatedMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEducationMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfSocialSciencesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfAgricultureAndNaturalResourcesMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMathAndStatisticsMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfComputerAndITMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfForeignLanguagesAndLinguisticsMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMathAndStatisticsMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHealthRelatedMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfComputerAndITMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLegalProfessionsAndStudiesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMathAndStatisticsMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfInterdisciplinaryStudiesMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfLibraryScienceMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTheologyAndReligionMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEthnicCulturalGenderGroupStudiesMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfOtherMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfComputerAndITMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEthnicCulturalGenderGroupStudiesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHistoryMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEthnicCulturalGenderGroupStudiesMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_Black","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEducationMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Female_HispanicOrLatino","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Female_TwoOrMoreRaces","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEthnicCulturalGenderGroupStudiesMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Female_NonUSResident","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfFamilyAndConsumerSciencesMajor_EducationalAttainmentBachelorsDegree_Female_HawaiianNativeOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_EducationalAttainmentBachelorsDegree_Female_AsianOrPacificIslander","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfMilitaryTechnologiesMajor_EducationalAttainmentBachelorsDegree_Female_Asian","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfHealthRelatedMajor_EducationalAttainmentBachelorsDegree_Female","[P1Y]","[]","2021","1","[]"
"[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Female_WhiteAlone","[P1Y]","[]","2021","1","[]"
